"GalaxyID","Prob_Smooth"
644924,0.792323
972556,0.025593
259541,0.941454
529135,0.046558
750498,0.43617
886802,0.398916
439441,1
675170,0.838226
687325,0.540609
557446,0.631694
374339,0.433932
743373,0.574108
363355,0.176629
278621,0.117812
391392,0.17443
853728,0.403425
101375,0.394491
250951,0.308118
302362,0.452351
314705,0.063171
840555,0.109632
383475,0
447892,0.865771
579607,0.188
923797,0.213174
891063,0.56585
735739,0
264023,0.646157
402552,0.111352
442648,0.122497
492391,0.524176
534903,0.502913
732459,0.645788
767330,0.334185
760477,0.070081
592557,0.025903
638590,0.776427
128271,0.714287
471154,0.019956
721053,0.091575
571953,0.437384
261989,0.772744
518892,0.34977
420990,0.869491
822813,0.442959
538202,0.042258
427993,0.087378
599254,0.338464
626273,0.68885
914290,0.765763
571303,0.103235
266449,0.040265
186485,0.436708
518978,0.760187
972727,0.427567
855259,0.80347
307783,0.027775
368864,0.608868
213716,0.700686
106206,0.556426
665848,0.21614
534856,0.317106
331464,0.143559
895532,0.459914
206256,0.053938
626479,0.626109
338879,0.687696
279314,0.357434
873784,0.820543
916834,0.344968
500496,0.120347
277046,0.380827
342501,0.308909
457718,0.571132
713065,0.885053
788998,0.950504
196414,0.869278
898110,0.682127
101623,0.860377
745182,0.041779
894382,0.068926
898075,0.248739
627483,0.468868
188405,0.751615
847320,0.219422
185147,0.888539
755303,0.574066
489893,0.897
197266,0.254884
327884,0.282878
182213,0.314014
839891,0.451886
208697,0.69014
607558,0.877474
973543,0.284284
682042,0.812882
798869,0.610182
247287,0.725128
881674,0.923451
707392,0.205604
466995,0.022757
426696,0.11499
449830,0.435983
579057,0.7604
747889,0.613816
567142,0.248248
227101,0.170732
179616,0.18371
116964,0.505902
668979,0.349192
508279,0.767254
731274,0.088777
231576,0.178539
725938,0.381183
168614,0.374211
269231,0.49
539444,0.317715
148253,0.359384
275461,0.512581
496215,0.480083
751716,0.422817
402859,0.544248
803416,0.585006
703855,0.054
707448,0.360042
822424,0
165004,0.723892
271112,0.837827
916151,0.580284
715532,0.098382
608475,0.709017
410444,0.542575
377263,0.450574
635055,0.057794
752720,0.028028
938321,0.560695
865297,0.256
995993,0.026732
788868,0.231229
773326,0.762822
948177,0.527474
812069,0.303742
625740,0.499557
925966,0.176188
360665,0.249216
162469,0.009776
715690,0.910175
860066,0.123783
725488,0
446228,0.758394
578556,0.130318
854485,0.952958
154101,0.685377
423298,0
676259,0.388047
785564,0.707
210992,0.582057
740068,0.346513
449864,0.010235
963521,0.686763
165364,0.576361
931542,0.045407
118944,0.918
212662,0.336984
608613,0.52091
845842,0.821545
613842,0.103428
261645,0.485327
756047,0.235895
513780,0.651
206041,0.648077
573736,0.137619
137644,0.857749
348194,0.258223
801201,0.244741
688501,0.357867
804991,0.877131
957360,0.392162
720978,0
158900,0.643
601932,0.890563
313744,0.024024
643344,0.177374
278734,0.037598
309184,0.704529
719066,0.638156
139712,0.037645
396670,0.712164
592358,0.27752
462250,0.043273
651199,0.377618
631406,0.528836
272351,0.829936
905939,0
252153,0.185026
545191,0.841908
208046,0.194262
301122,0
794884,0.222224
833858,0.008881
886825,0.893531
557375,0.484365
150325,0.107071
781829,0.685581
958816,0.444174
999508,0.765657
558985,0.124387
592313,0.468755
108985,0.392677
120062,0.872044
228008,0.177951
161858,0.866134
226342,0.778266
778490,0.236942
659633,0.105199
371575,0.560882
942491,0.19864
465240,0.27397
973104,0.389145
466663,0.896
875662,0.109399
996727,0.669213
127444,0.347159
922993,0.018925
205121,0.663102
138772,0.956
643988,0.076739
895177,0.345969
959212,0.434745
102513,0.846341
122265,0.559897
854941,0.906094
446559,0
288646,0.500177
532370,0.093348
884496,0.362742
474758,0.198856
760513,0
418382,0.560756
446355,0.056635
272964,0.661174
552501,0.531225
621690,0.659513
304252,0.358941
578638,0.118651
946597,0.178015
313265,0.698738
851151,0.494404
654014,0.094275
395847,0
258026,0.922347
375372,0.355724
516856,0.118
945372,0.678752
946716,0.765006
143206,0.341221
653431,0.804408
793556,0.236932
280816,0.041024
475618,0.751354
393160,0.603556
657995,0.33802
504344,0
105755,0.840504
600569,0.588423
743284,0.073921
527517,0.515827
864867,0.682127
335400,0.865056
517522,0.813478
349668,0.108202
813147,0.087622
796308,0.155011
404513,0.031
598151,0.324822
470619,0.089442
310568,0.004996
415086,0.125199
936824,0.84454
230520,0.245149
459994,0.922993
572593,0.109865
434611,0.73012
208923,0.189322
705468,0.081
725173,0.251554
316622,0.181135
171998,0.750756
693371,0.890175
662271,0.872379
348980,0.537143
482288,0.437384
901044,0.057737
882378,0.545648
609153,0.909906
276612,0.033178
376956,0.847892
911958,0.784025
720940,0.313064
840249,0.626199
265258,0.256973
600220,0.571032
504534,0.142376
111753,0.777856
373655,0.106228
154923,0.709774
648402,0.787295
353036,0.110266
823643,0.824782
125327,0.588414
277940,0.646672
151596,0.199152
847006,0.359139
351722,0.235423
515204,0.443224
791561,0.500217
215067,0.320264
641977,0.322006
464923,0.307743
352695,0.803406
391212,0.659407
167659,0.199593
214865,0.387015
350476,0.484814
279295,0.136051
161812,0.277911
929313,0.479843
538681,0.238279
408895,0.090117
594674,0.389747
